date,open,high,low,close
2024-07-01,2335.94995,2338.57861,2318.58008,2331.80493
2024-07-02,2332.48999,2336.85986,2319.08984,2329.6001
2024-07-03,2330.35986,2364.96484,2326.87793,2356.18018
2024-07-04,2356.73999,2362.5752,2350.5249,2357.03516
2024-07-05,2357.50488,2393.00488,2348.66504,2390.88501
2024-07-08,2387.54492,2391.18994,2351.10498,2359.20508
2024-07-09,2359.21484,2371.6499,2349.48999,2364.10986
2024-07-10,2363.48486,2386.79004,2363.35986,2371.41992
2024-07-11,2371.91992,2424.62402,2371.28003,2415.42505
2024-07-12,2414.75488,2418.31982,2391.51001,2411.7002
2024-07-15,2412.77002,2439.78491,2401.37012,2422.31006
2024-07-16,2422.04004,2469.7749,2420.06641,2468.76001
2024-07-17,2468.65991,2483.74512,2451.51514,2458.71509
2024-07-18,2458.95996,2474.98999,2440.37988,2445.2749
2024-07-19,2445.54492,2445.88501,2393.85986,2400.4502
2024-07-22,2403.88989,2412.25195,2383.95508,2396.41992
2024-07-23,2396.95508,2412.10596,2388.33496,2409.59497
2024-07-24,2409.0498,2432.03516,2396.83496,2397.59497
2024-07-25,2397.96997,2401.29492,2353.17993,2364.33496
2024-07-26,2364.53003,2390.83496,2355.89014,2388.31982
2024-07-29,2388.43506,2403.29492,2369.70996,2383.58496
2024-07-30,2382.87012,2412.9502,2376.54688,2411.01001
2024-07-31,2409.76514,2451.03516,2403.97363,2447.54492
2024-08-01,2449.27979,2462.35498,2430.26001,2446.35986
2024-08-02,2446.80005,2477.76001,2410.92993,2441.37012
2024-08-05,2445.23999,2458.81982,2364.41504,2410.05518
2024-08-06,2410.54492,2418.37988,2381.76514,2389.97998
2024-08-07,2389.81982,2407.12012,2379.14014,2383.01514
2024-08-08,2382.55005,2427.79004,2381.125,2427.37061
2024-08-09,2427.22998,2437.12012,2416.95996,2431.12012
2024-08-12,2430.18506,2473.28052,2423.90601,2472.16064
2024-08-13,2470.95996,2477.02002,2458.53003,2465.09497
2024-08-14,2466.95996,2480.14502,2438.14014,2447.96484
2024-08-15,2448.41992,2470.125,2432.27002,2456.44507
2024-08-16,2456.0498,2509.81982,2450.79395,2507.18994
2024-08-19,2509.10986,2510.30493,2485.74512,2504.27979
2024-08-20,2503.67993,2531.74512,2497.40381,2513.90503
2024-08-21,2513.66016,2520.03003,2493.82495,2512.29004
2024-08-22,2513.30005,2514.72949,2470.90479,2484.64502
2024-08-23,2484.83496,2518.41064,2484.48999,2511.97021
2024-08-26,2512.16016,2526.98999,2508.80005,2518.0498
2024-08-27,2518.28516,2526.04492,2503.6001,2524.83008
2024-08-28,2525.18994,2529.14502,2493.72998,2504.61499
2024-08-29,2504.98999,2528.77002,2503.68018,2521.3999
2024-08-30,2520.70996,2526.96997,2494.19482,2503.44482
2024-09-02,2502.99023,2507.35303,2490.08008,2504.79004
2024-09-03,2499.48486,2506.34058,2473.43994,2493.06494
2024-09-04,2492.81006,2500.34497,2471.90991,2495.59497
2024-09-05,2495.375,2523.49512,2493.90991,2516.54004
2024-09-06,2516.87012,2529.32397,2485.1748,2497.08984
2024-09-09,2497.59009,2507.33008,2485.59692,2506.28491
2024-09-10,2506.4502,2518.55005,2500.18506,2516.76001
2024-09-11,2516.78003,2529.1499,2501.0498,2511.46997
2024-09-12,2512.95996,2560.18994,2511.09497,2558.90503
2024-09-13,2558.2002,2586.11499,2556.78003,2579.47021
2024-09-16,2578.70508,2589.7251,2575.33008,2582.44482
2024-09-17,2581.28003,2586.95508,2560.78491,2569.47998
2024-09-18,2570.3999,2600.26001,2546.87012,2559.15503
2024-09-19,2557.65503,2594.91992,2551.1001,2586.71997
2024-09-20,2587.64502,2625.82007,2584.80493,2622.24048
2024-09-23,2619.93506,2634.89014,2613.90503,2628.75
2024-09-24,2627.0752,2664.43018,2622.68994,2657.31982
2024-09-25,2658.62012,2670.62012,2649.78003,2657.33008
2024-09-26,2657.50488,2685.54492,2654.83496,2672.3999
2024-09-27,2672.12012,2674.35986,2643.18994,2659.08008
2024-09-30,2658.11499,2666.05518,2624.74512,2634.80005
2024-10-01,2634.51001,2673.27002,2632.3999,2663.48511
2024-10-02,2662.01001,2663.44482,2641.18018,2658.80005
2024-10-03,2658.36499,2663.02002,2637.87988,2656.19995
2024-10-04,2656.96997,2670.23999,2632.05005,2653.00488
2024-10-07,2650.81006,2659.68994,2637.80518,2642.62012
2024-10-08,2642.6001,2653.11304,2604.81348,2621.76001
2024-10-09,2621.87012,2624.35498,2605.21997,2607.81982
2024-10-10,2607.81006,2631.55005,2602.98511,2629.96997
2024-10-11,2629.26514,2661.47998,2628.18506,2657.16016
2024-10-14,2652.95996,2666.89502,2643.24512,2648.98999
